cas	phenotype	source	concentration	duration	phenotype_label	phenotype_CURIE	chem_label	chem_curie
79-94-7	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
50-28-2	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
56-53-1	Curved/curled	Biobide	LEL	2dpf	axis curved, abnormal	ZP_0005012	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
68937-41-7	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Triphenyl phosphates isopropylated	Q27137290
1746-01-6	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
1478-61-1	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
97-77-8	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
56803-37-3	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	tert-Butylphenyl diphenyl phosphate	
85-01-8	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
107534-96-3	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
439-14-5	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
56-53-1	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Firemaster 550	
56-38-2	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
83-32-9	Heart edema/irregular shape	Biobide	LEL	2dpf	heart abnormal, abnormal	ZP_0009266	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
68937-41-7	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Triphenyl phosphates isopropylated	Q27137290
133-06-2	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
1478-61-1	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
97-77-8	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
56803-37-3	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	tert-Butylphenyl diphenyl phosphate	
116-06-3	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Aldicarb	http://purl.obolibrary.org/obo/CHEBI_2555
58-89-9	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
2001-95-8	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
115-09-3	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
83-79-4	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
439-14-5	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
79-94-7	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
56-38-2	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
56-53-1	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Length alteration	Biobide	LEL	2dpf	whole organism length, abnormal	ZP_0012799	Firemaster 550	
76-44-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Heptachlor	http://purl.obolibrary.org/obo/CHEBI_34785
133-06-2	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
56-35-9	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
115-09-3	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
1478-61-1	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
85-01-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
439-14-5	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
2001-95-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
79-94-7	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
50-28-2	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
56-53-1	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf	caudal fin physical object quality, abnormal	ZP_0010405	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
50-29-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Dichlorodiphenyltrichloroethane	http://purl.obolibrary.org/obo/CHEBI_16130
52918-63-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Deltamethrin	http://purl.obolibrary.org/obo/CHEBI_4388
86-73-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
1746-01-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	2,3,7,8-Tetrachlorodibenzo-p-dioxin	http://purl.obolibrary.org/obo/CHEBI_28119
1478-61-1	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Bisphenol AF	http://purl.obolibrary.org/obo/CHEBI_72754
97-77-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
56803-37-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	tert-Butylphenyl diphenyl phosphate	
133-06-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Captan	http://purl.obolibrary.org/obo/CHEBI_34608
116-06-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Aldicarb	http://purl.obolibrary.org/obo/CHEBI_2555
58-89-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
80-05-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216
55406-53-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
56-35-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
85-01-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
107534-96-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
439-14-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
2001-95-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
115-09-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
83-79-4	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
56-53-1	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Firemaster 550	
56-38-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
83-32-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
79-94-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
203-64-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf	head shape, abnormal	ZP_0002314	4H-Cyclopenta(def)phenanthrene	Q27290553
116-06-3	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Aldicarb	http://purl.obolibrary.org/obo/CHEBI_2555
58-89-9	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
56-53-1	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Firemaster 550	
56-38-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
83-32-9	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
79-94-7	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
203-64-5	Microphthalmia/Cyclopia	Biobide	LEL	2dpf	eye abnormal, abnormal	ZP_0008271	4H-Cyclopenta(def)phenanthrene	Q27290553
55406-53-6	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
56-35-9	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
85-01-8	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
107534-96-3	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
439-14-5	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Diazepam	http://purl.obolibrary.org/obo/CHEBI_49575
2001-95-8	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
115-09-3	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Methylmercuric(II) chloride	http://purl.obolibrary.org/obo/CHEBI_28216
83-79-4	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
56-53-1	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
860302-33-6	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Firemaster 550	
56-38-2	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Parathion	http://purl.obolibrary.org/obo/CHEBI_27928
50-28-2	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
208-96-8	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
2465-27-2	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
115-86-6	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
83-32-9	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
79-94-7	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
203-64-5	Mortality	Biobide	LEL	2dpf	death stage	UBERON_0000071	4H-Cyclopenta(def)phenanthrene	Q27290553
56-35-9	Necrotic tissues	Biobide	LEL	2dpf	whole organism necrotic, abnormal	ZP_0000398	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
79-94-7	Necrotic tissues	Biobide	LEL	2dpf	whole organism necrotic, abnormal	ZP_0000398	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
70-30-4	Necrotic tissues	Biobide	LEL	2dpf	whole organism necrotic, abnormal	ZP_0000398	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
50-28-2	Necrotic tissues	Biobide	LEL	2dpf	whole organism necrotic, abnormal	ZP_0000398	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
56-53-1	Necrotic tissues	Biobide	LEL	2dpf	whole organism necrotic, abnormal	ZP_0000398	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
70-30-4	Notochord morphology	Biobide	LEL	2dpf	notochord morphology, abnormal	ZP_0000624	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
80-05-7	Other effects	Biobide	LEL	2dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Bisphenol A	http://purl.obolibrary.org/obo/CHEBI_33216
83-79-4	Other effects	Biobide	LEL	2dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
97-77-8	Other effects	Biobide	LEL	2dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Disulfiram	http://purl.obolibrary.org/obo/CHEBI_4659
83-32-9	Other effects	Biobide	LEL	2dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
208-96-8	Other effects	Biobide	LEL	2dpf	zebrafish anatomical entity quality, abnormal	ZP_0000001	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
63-25-2	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Carbaryl	http://purl.obolibrary.org/obo/CHEBI_3390
86-73-7	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Fluorene	http://purl.obolibrary.org/obo/CHEBI_28266
68937-41-7	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Triphenyl phosphates isopropylated	Q27137290
203-64-5	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	4H-Cyclopenta(def)phenanthrene	Q27290553
56803-37-3	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	tert-Butylphenyl diphenyl phosphate	
58-89-9	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Lindane	http://purl.obolibrary.org/obo/CHEBI_32888
107534-96-3	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
83-32-9	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
85-01-8	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
115-86-6	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
860302-33-6	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Firemaster 550	
2465-27-2	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
50-28-2	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
56-53-1	Yolk edema	Biobide	LEL	2dpf	yolk edematous, abnormal	ZP_0002060	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
2465-27-2	Yolk opacity	Biobide	LEL	2dpf	yolk opaque, abnormal	ZP_0002198	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
56-35-9	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Bis(tributyltin)oxide	http://purl.obolibrary.org/obo/CHEBI_81543
70-30-4	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Hexachlorophene	http://purl.obolibrary.org/obo/CHEBI_5693
79-94-7	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	3,3',5,5'-Tetrabromobisphenol A	http://purl.obolibrary.org/obo/CHEBI_33217
56-53-1	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Diethylstilbestrol	http://purl.obolibrary.org/obo/CHEBI_41922
50-28-2	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	17beta-Estradiol	http://purl.obolibrary.org/obo/CHEBI_16469
83-79-4	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Rotenone	http://purl.obolibrary.org/obo/CHEBI_28201
2001-95-8	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Valinomycin	http://purl.obolibrary.org/obo/CHEBI_28545
208-96-8	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Acenaphthylene	http://purl.obolibrary.org/obo/CHEBI_33081
83-32-9	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Acenaphthene	http://purl.obolibrary.org/obo/CHEBI_22154
85-01-8	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Phenanthrene	http://purl.obolibrary.org/obo/CHEBI_28851
2465-27-2	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Auramine hydrochloride	http://purl.obolibrary.org/obo/CHEBI_51876
55406-53-6	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	3-Iodo-2-propynyl-N-butylcarbamate	http://purl.obolibrary.org/obo/CHEBI_83279
115-86-6	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Triphenyl phosphate	http://purl.obolibrary.org/obo/CHEBI_35033
860302-33-6	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Firemaster 550	
107534-96-3	Mortality	Biobide	AC50	2dpf	death stage	UBERON_0000071	Tebuconazole	http://purl.obolibrary.org/obo/CHEBI_81781
